UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE GENDER,BN CANDIDATE AGE,BN CANDIDATE VOTE,PR,PR CANDIDATE,PR CANDIDATE GENDER,PR CANDIDATE AGE,PR CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE GENDER,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE GENDER,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE GENDER,OTHER PARTY 3 CANDIDATE AGE,OTHER PARTY 3 CANDIDATE VOTE,STATUS FOR OTHER PARTY 3,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE GENDER,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE GENDER,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE,INDEPENDENT 3,INDEPDENDENT 3 CANDIDATE,INDEPENDENT 3 CANDIDATE GENDER,INDEPENDENT 3 CANDIDATE AGE,INDEPENDENT 3 CANDIDATE VOTE,INDEPENDENT 4,INDEPDENDENT 4 CANDIDATE,INDEPENDENT 4 CANDIDATE GENDER,INDEPENDENT 4 CANDIDATE AGE,INDEPENDENT 4 CANDIDATE VOTE
P.044,PULAU PINANG,P.044,PERMATANG PAUH,PR-PKR,,71699,11721,88.5,63475,143,672,62660,BN - UMNO,MAZLAN BIN ISMAIL,,,25369,PR-PKR,ANWAR BIN IBRAHIM,,,37090,,,,,,,,,,,,,,,,,INDEPENDENT,ABDULLAH ZAWAWI BIN SAMSUDIN,,,201,,,,,,,,,,,,,,,
P.045,PULAU PINANG,P.045,BUKIT MERTAJAM,PR-DAP,,78996,43063,88.1,69588,185,712,68691,BN - MCA,GUI GUAT LYE,,,12814,PR-DAP,SIM CHEE KEONG,,,55877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.046,PULAU PINANG,P.046,BATU KAWAN,PR-DAP,,57500,25962,87.3,50208,69,723,49416,BN - MIC,GOBALAKRISHNAN A/L NARAYANASAMY,,,10674,PR-DAP,KASTHURIRAANI A/P PATTO,,,36636,PCM,HUAN CHENG GUAN,,,1801,,,,,,,,,,,,INDEPENDENT,MOHAN A/L APPAROO,,,305,,,,,,,,,,,,,,,
P.047,PULAU PINANG,P.047,NIBONG TEBAL,PR-PKR,,59345,8598,88.6,52599,61,833,51705,BN - UMNO,ZAINAL ABIDIN BIN OSMAN,,,21405,PR-PKR,MANSOR BIN OTHMAN,,,30003,,,,,,,,,,,,,,,,,INDEPENDENT,TENG KOK PHENG,,,297,,,,,,,,,,,,,,,
P.048,PULAU PINANG,P.048,BUKIT BENDERA,PR-DAP,,71085,32778,83.2,59118,99,615,58404,BN - GERAKAN,TEH LEONG MENG,,,12813,PR-DAP,ZAIRIL KHIR JOHARI,,,45591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.049,PULAU PINANG,P.049,TANJONG,PR-DAP,,51487,28645,83.3,42903,33,495,42375,BN - GERAKAN,NG SONG KHENG,,,6865,PR-DAP,NG WEI AIK,,,35510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.050,PULAU PINANG,P.050,JELUTONG,PR-DAP,,71247,25750,86.6,61715,274,769,60672,BN - GERAKAN,NG FOOK ON,,,17461,PR-DAP,OOI CHUAN AUN,,,43211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.051,PULAU PINANG,P.051,BUKIT GELUGOR,PR-DAP,,81897,42706,86.3,70683,129,654,69900,BN - MCA,TEH BENG YEAM,,,13597,PR-DAP,KARPAL SINGH A/L RAM SINGH,,,56303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.052,PULAU PINANG,P.052,BAYAN BARU,PR-PKR,,79155,19307,87,68846,187,850,67809,BN - MCA,TANG HEAP SENG,,,24251,PR-PKR,SIM TZE TZIN,,,43558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.053,PULAU PINANG,P.053,BALIK PULAU,BN - UMNO,,49641,1539,88.2,43773,64,612,43097,BN - UMNO,HILMI BIN YAHAYA,,,22318,PR-PKR,MUHAMMAD BAKHTIAR BIN WAN CHIK,,,20779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.054,PERAK,P.054,GERIK,BN - UMNO,,32725,6216,83.8,27414,306,494,26614,BN - UMNO,HASBULLAH BIN OSMAN,,,16415,PR-PAS,NORHAYATI BINTI KASIM,,,10199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.055,PERAK,P.055,LENGGONG,BN - UMNO,,27950,4161,84.9,23736,251,368,23117,BN - UMNO,SHAMSUL ANUAR BIN NASARAH,,,13639,PR-PAS,RAZMAN BIN ZAKARIA,,,9478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.056,PERAK,P.056,LARUT,BN - UMNO,,46577,5296,86.1,40100,171,579,39350,BN - UMNO,HAMZAH BIN ZAINUDIN,,,22184,PR-PAS,MOHD FAUZI BIN SA'ARI,,,16888,,,,,,,,,,,,,,,,,INDEPENDENT,RAVEENDRAN A/L M.VALLIKANA,,,278,,,,,,,,,,,,,,,
P.057,PERAK,P.057,PARIT BUNTAR,PR-PAS,,51422,8476,86.2,44306,134,618,43554,BN - UMNO,MUA'AMAR GHADAFI JAMAL BIN JAMALUDIN,,,17539,PR-PAS,MUJAHID BIN YUSOF,,,26015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
