UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.16_N.27,KEDAH,P.16,KULIM - BANDAR BAHARU,N.27,KULIM,BN - MCA,,26397,8218,72.27,19078,0,680,18398,MCA,YONG PAO CHAK,MALE,,13308,,,,,,,,,,,,,,S46,HASHIM BIN LEMAN,MALE,,5090,,,,,,,,,,,,,
P.16_N.28,KEDAH,P.16,KULIM - BANDAR BAHARU,N.28,BANDAR BAHARU,BN - UMNO,,19002,5813,76.86,14606,0,539,14067,UMNO,HUSSAIN BIN ABD RAHMAN,MALE,,9940,,PAS,USTAZ HASSAN B ABD RAZAK,MALE,,4127,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_N.1,KELANTAN,P.17,TUMPAT,N.1,GETING,APU - HAMIM,,16860,1427,73.61,12411,0,382,12029,UMNO,CIKGU MAT NAWI,MALE,,5301,,HAMIM,DATO' NIK MAN,MALE,,6728,,,,,,,,,,,,,,,,,,,,,,,,,
P.17_N.2,KELANTAN,P.17,TUMPAT,N.2,SUNGAI PINANG,S46,,15632,3180,77.89,12176,0,397,11779,UMNO,MANSOR BIN SALLEH,MALE,,4278,,,,,,,,,,,,,,S46,NORDIN BIN SALLEH,MALE,,7458,,INDEPENDENT,HJ. MUHAMAD ABDULLAH,MALE,,43,LOST DEPOSIT,,,,,,
P.17_N.3,KELANTAN,P.17,TUMPAT,N.3,WAKAF BAHARU,APU - PAS,,18346,6025,78.63,14425,0,337,14088,UMNO,HJ. HUSSIEN BIN MAHMOOD,MALE,,3960,,PAS,HJ. RAMLI BIN HJ ABU BAKAR,MALE,,9985,,,,,,,,,,,,,,INDEPENDENT,JAFFAR BIN CHE AWANG,MALE,,143,LOST DEPOSIT,,,,,,
P.18_N.4,KELANTAN,P.18,PENGKALAN CHEPA,N.4,SEMUT API,APU - PAS,,16191,6993,76.22,12341,0,326,12015,UMNO,HJ WAN MAT,MALE,59,2511,,PAS,TUAN GURU HJ NIK ABDUL AZIZ BIN NIK MAT,MALE,,9504,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_N.5,KELANTAN,P.18,PENGKALAN CHEPA,N.5,KEMUMIN,APU - PAS,,18671,4410,77.84,14533,0,323,14210,UMNO,MOHD ARIFFIN ABDUL HAMID (ABANG PIN),MALE,,4900,,PAS,CIK GU HAJI DAUD,MALE,,9310,,,,,,,,,,,,,,,,,,,,,,,,,
P.18_N.6,KELANTAN,P.18,PENGKALAN CHEPA,N.6,BANGGOL,APU - PAS,,15035,6075,73.34,11027,0,225,10802,UMNO,MANAF BIN DAUD,MALE,,2322,,PAS,USTAZ HALIM,MALE,,8397,,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN IDRIS,MALE,,83,LOST DEPOSIT,,,,,,
P.19_N.7,KELANTAN,P.19,KOTA BAHARU,N.7,PADANG GARONG,APU - BERJASA,,20708,2739,70.42,14582,134,349,14099,MCA,LIM JIT KENG,MALE,,4602,,BERJASA,WAN HASHIM AHMAD,MALE,,7341,,DAP,DR. LIM KOK TEE,,,2156,,,,,,,,,,,,,,,,,,,
P.19_N.8,KELANTAN,P.19,KOTA BAHARU,N.8,BUNUT PAYONG,APU - PAS,,17822,4092,74.21,13226,31,299,12896,UMNO,DATO AHMAD RASTOM,MALE,,4402,,PAS,DATO' HALIM BIN MOHAMED,MALE,,8494,,,,,,,,,,,,,,,,,,,,,,,,,
