UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,BA (1),BA (1) CANDIDATE,BA (1) CANDIDATE SEX,BA (1) CANDIDATE AGE,BA (1) VOTE,BA (1) CANDIDATE LOST DEPOSIT,BA (2),BA (2) CANDIDATE,BA (2) CANDIDATE SEX,BA (2) CANDIDATE AGE,BA (2) VOTE,BA (2) CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,OTHER PARTY (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 44,PULAU PINANG,P. 44,PERMATANG PAUH,BA - PKN,,49666,9077,78.95,39210,0,647,38563,UMNO,DR. IBRAHIM SAAD,MALE,53,14743,,,,,,,,PKN,DR. WAN AZIZAH WAN ISMAIL,FEMALE,47,23820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,BA - DAP,,66607,2937,78.02,51967,49,1107,50811,MCA,DR TAN CHONG KENG,MALE,,23937,,DAP,CHONG ENG,FEMALE,42,26874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 46,PULAU PINANG,P. 46,NIBONG TEBAL,BA - DAP,,53267,1856,78.5,41815,35,1230,40550,GERAKAN,DR KANG CHIN SENG,MALE,,18876,,DAP,GOH KHENG HUAT,MALE,36,20732,,,,,,,,,,,,,,,,,,,,INDEPENDENT - UMBRELLA,HAJI ABDUL RAHMAN BIN HAJI MANAP,MALE,,942,LOST DEPOSIT,,,,,,,,,,,,
P. 47,PULAU PINANG,P. 47,BUKIT BENDERA,BN - GERAKAN,,69610,104,71.67,49887,380,1051,48456,GERAKAN,CHIA KWANG CHYE,MALE,47,24280,,DAP,LIM KIT SIANG,MALE,58,24176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 48,PULAU PINANG,P. 48,TANJONG,BA - DAP,,61260,4477,70.85,43403,13,993,42397,GERAKAN,CHEANG CHEE GOOI,MALE,49,18960,,DAP,CHOW KON YEOW,MALE,41,23437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 49,PULAU PINANG,P. 49,JELUTONG,BN - GERAKAN,,59372,775,72.83,43239,20,1012,42207,GERAKAN,LEE KAH CHOON,MALE,,21491,,DAP,KARPAL SINGH A/L RAM SINGH,MALE,59,20716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 50,PULAU PINANG,P. 50,BAYAN BARU,BN - MCA,,84695,9481,74.84,63388,201,1144,62043,MCA,WONG KAM HOONG,MALE,52,35762,,DAP,ZULKIFLI MOHD. NOOR,MALE,51,26281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 51,PULAU PINANG,P. 51,BALIK PULAU,BN - UMNO,,62075,9434,76.84,47701,419,914,46368,UMNO,DATO MOHD ZAIN B. HJ. OMAR,MALE,57,27901,,,,,,,,PKN,MANSOR BIN OTHMAN,MALE,49,18467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52,PERAK,P. 52,GERIK,BN - UMNO,,38637,6175,67.73,26167,1245,503,24419,UMNO,KHANSIYAH @ KHAMSIYAH BINTI YEOP,FEMALE,,15297,,PAS,ZULKAPELY @ ZULKIFLY ABU,MALE,,9122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 53,PERAK,P. 53,LARUT,BN - UMNO,,35535,4009,71.76,25500,7,834,24659,UMNO,DATO' RAJA AHMAD ZAINUDDIN BIN RAJA HAJI OMAR,MALE,43,14334,,,,,,,,PKN,DR MUHAMMAD NOR MANUTY,MALE,50,10325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
