UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY AND MELANAU (%),CHINESE (%),IBAN (%),BIDAYUH (%),ORANG ULU (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - MILITARY VOTERS (%),ELECTORS - POLICE VOTERS (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2016)
P.216_N.64,SARAWAK,P.216,HULU RAJANG,N.64,BALEH,9624,,,98.6,,,1.4,100,0,0,0,9.8,22.54,21.33,20.07,11.36,9.35,3.94,1.61,48.05,51.95,RURAL
P.216_N.65,SARAWAK,P.216,HULU RAJANG,N.65,BELAGA,7096,3.9,3.5,21.7,,67.8,3.1,99.03,0,0,0.97,10.86,21.59,22.73,21.3,11.83,6.62,2.99,2.07,50.33,40.67,RURAL
P.216_N.66,SARAWAK,P.216,HULU RAJANG,N.66,MURUM,8242,0.7,1.5,20.2,,76.5,1.1,100,0,0,0,12.69,22.71,22.67,20.76,10.56,6.2,2.81,1.6,50.44,49.56,RURAL
P.217_N.67,SARAWAK,P.217,BINTULU,N.67,JEPAK,13789,55.2,7.2,36,0.5,0.4,0.7,99.93,0,0,0.07,9.84,22.11,23.68,21.59,14.57,5.82,1.7,0.7,50.44,49.56,RURAL
P.217_N.68,SARAWAK,P.217,BINTULU,N.68,TANJONG BATU,19674,10.1,73.7,12.7,0.8,1.4,1.3,98.62,0.01,0,1.37,12.97,23.73,21.99,22.81,13.3,3.92,1.12,0.16,50.46,49.54,URBAN
P.217_N.69,SARAWAK,P.217,BINTULU,N.69,KEMENA,12991,6.8,4,86,,2.7,0.5,100,0,0,0,8.72,18.8,23.99,21.75,14.29,8.53,2.62,1.3,50.69,49.31,RURAL
P.217_N.70,SARAWAK,P.217,BINTULU,N.70,SAMALAJU,13251,20.3,15,60.5,1.8,2,0.4,99.98,0.02,0,0,14.44,24.57,23.31,21.41,11.21,3.69,0.96,0.41,51.9,48.1,URBAN
P.218_N.71,SARAWAK,P.218,SIBUTI,N.71,BEKENU,12250,48.7,13.6,35.5,,1,1.2,99.7,0,0,0.3,6.72,19.92,20.92,20.62,20.28,8.29,2.63,0.62,51.57,48.43,RURAL
P.218_N.72,SARAWAK,P.218,SIBUTI,N.72,LAMBIR,17533,34.9,26.5,32.8,1.5,3.7,0.6,96.02,0.02,3.82,0.14,12.04,26.32,21.81,19.96,13.03,5.22,1.23,0.38,51.67,48.33,RURAL
P.219_N.73,SARAWAK,P.219,MIRI,N.73,PIASAU,21120,21.3,61.1,13.7,0.9,1.4,1.6,98.04,0,0,1.96,6.12,15.45,18.2,22.97,22.34,10.54,3.94,1.35,49.56,50.44,SEMI-URBAN
