UNIQUE CODE (2008),STATE (2008),PARLIAMENTARY CONSTITUENCY CODE (2008),PARLIAMENTARY CONSTITUENCY NAME (2008),AREA (SQ KM),NOTES
P. 116,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 116,WANGSA MAJU,13.91,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 117,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 117,SEGAMBUT,51.69,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 118,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 118,SETIAWANGSA,16.94,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 119,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 119,TITIWANGSA,14.41,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 120,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 120,BUKIT BINTANG,16.27,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 121,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 121,LEMBAH PANTAI,21.4,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 122,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 122,SEPUTEH,20.61,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 123,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 123,CHERAS,14.44,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 124,WILAYAH PERSEKUTUAN KUALA LUMPUR,P. 124,BANDAR TUN RAZAK,38.16,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 125,WILAYAH PERSEKUTUAN PUTRAJAYA,P. 125,PUTRAJAYA,49.3,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 126,NEGERI SEMBILAN,P. 126,JELEBU,1677.83,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 127,NEGERI SEMBILAN,P. 127,JEMPOL,1163.46,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 128,NEGERI SEMBILAN,P. 128,SEREMBAN,490.14,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 129,NEGERI SEMBILAN,P. 129,KUALA PILAH,1030.82,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 130,NEGERI SEMBILAN,P. 130,RASAH,236.5,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 131,NEGERI SEMBILAN,P. 131,REMBAU,627.16,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 132,NEGERI SEMBILAN,P. 132,TELOK KEMANG,570.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 133,NEGERI SEMBILAN,P. 133,TAMPIN,852.19,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 134,MELAKA,P. 134,MASJID TANAH,323.83,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 135,MELAKA,P. 135,ALOR GAJAH,558.2,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 136,MELAKA,P. 136,TANGGA BATU,123.58,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 137,MELAKA,P. 137,BUKIT KATIL,126.48,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 138,MELAKA,P. 138,KOTA MELAKA,46.84,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 139,MELAKA,P. 139,JASIN,472.66,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 140,JOHOR,P. 140,SEGAMAT,938.29,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 141,JOHOR,P. 141,SEKIJANG,499.28,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 142,JOHOR,P. 142,LABIS,1378.66,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 143,JOHOR,P. 143,PAGOH,1177.4,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 144,JOHOR,P. 144,LEDANG,647.89,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 145,JOHOR,P. 145,BAKRI,238.78,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 146,JOHOR,P. 146,MUAR,273.42,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 147,JOHOR,P. 147,PARIT SULONG,454.26,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 148,JOHOR,P. 148,AYER HITAM,733,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 149,JOHOR,P. 149,SRI GADING,285.05,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 150,JOHOR,P. 150,BATU PAHAT,416.27,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 151,JOHOR,P. 151,SIMPANG RENGGAM,748.4,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 152,JOHOR,P. 152,KLUANG,248.99,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 153,JOHOR,P. 153,SEMBRONG,1791.46,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 154,JOHOR,P. 154,MERSING,2751.8,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 155,JOHOR,P. 155,TENGGARA,1217.08,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 156,JOHOR,P. 156,KOTA TINGGI,1281.59,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 157,JOHOR,P. 157,PENGERANG,776.08,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 158,JOHOR,P. 158,TEBRAU,449.79,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 159,JOHOR,P. 159,PASIR GUDANG,114.19,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 160,JOHOR,P. 160,JOHOR BAHRU,39.67,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 161,JOHOR,P. 161,PULAI,60.31,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 162,JOHOR,P. 162,GELANG PATAH,382.63,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 163,JOHOR,P. 163,KULAI,663.1,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 164,JOHOR,P. 164,PONTIAN,474.26,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 165,JOHOR,P. 165,TANJONG PIAI,485.32,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 166,WILAYAH PERSEKUTUAN LABUAN,P. 166,LABUAN,96,As per 2003 redelineation exercise of Peninsular Malaysia and Federal Territories
P. 167,SABAH,P. 167,KUDAT,2444.64,As per 2003 redelineation exercise of Sabah
P. 168,SABAH,P. 168,KOTA MARUDU,2171.32,As per 2003 redelineation exercise of Sabah
P. 169,SABAH,P. 169,KOTA BELUD,1366.49,As per 2003 redelineation exercise of Sabah
P. 170,SABAH,P. 170,TUARAN,1148.66,As per 2003 redelineation exercise of Sabah
P. 171,SABAH,P. 171,SEPANGGAR,272.44,As per 2003 redelineation exercise of Sabah
P. 172,SABAH,P. 172,KOTA KINABALU,55.57,As per 2003 redelineation exercise of Sabah
P. 173,SABAH,P. 173,PUTATAN,71.44,As per 2003 redelineation exercise of Sabah
P. 174,SABAH,P. 174,PENAMPANG,436.33,As per 2003 redelineation exercise of Sabah
P. 175,SABAH,P. 175,PAPAR,681.28,As per 2003 redelineation exercise of Sabah
P. 176,SABAH,P. 176,KIMANIS,786.16,As per 2003 redelineation exercise of Sabah
P. 177,SABAH,P. 177,BEAUFORT,926.02,As per 2003 redelineation exercise of Sabah
P. 178,SABAH,P. 178,SIPITANG,3608.34,As per 2003 redelineation exercise of Sabah
P. 179,SABAH,P. 179,RANAU,3785.46,As per 2003 redelineation exercise of Sabah
P. 180,SABAH,P. 180,KENINGAU,2477.1,As per 2003 redelineation exercise of Sabah
P. 181,SABAH,P. 181,TENOM,2402.85,As per 2003 redelineation exercise of Sabah
P. 182,SABAH,P. 182,PENSIANGAN,8325.38,As per 2003 redelineation exercise of Sabah
P. 183,SABAH,P. 183,BELURAN,7567.83,As per 2003 redelineation exercise of Sabah
P. 184,SABAH,P. 184,LIBARAN,845.83,As per 2003 redelineation exercise of Sabah
P. 185,SABAH,P. 185,BATU SAPI,560.08,As per 2003 redelineation exercise of Sabah
P. 186,SABAH,P. 186,SANDAKAN,38.6,As per 2003 redelineation exercise of Sabah
