UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,TOTAL ELECTORS,MALAY (%),CHINESE (%),INDIANS (%),ORANG ASLI (%),BUMIPUTERA SABAH (%),BUMIPUTERA SARAWAK (%),OTHERS (%),ELECTORS - NORMAL VOTERS (%),ELECTORS - ABSENT VOTERS (%),ELECTORS - POLICE (%),ELECTORS - MILITARY (%),21-29 (%),30-39 (%),40-49 (%),50-59 (%),60-69 (%),70-79 (%),80-89 (%),90 AND ABOVE (%),MALE ELECTORS (%),WOMEN ELECTORS (%),URBAN-RURAL CLASSIFICATION (2018)
P.020_N.06,KELANTAN,P.020,PENGKALAN CHEPA,N.06,CHEMPAKA,24702,99.02,0.64,0.04,0,0.1,0.13,0.09,93,0.02,0,6.98,23.5,28.4,19.5,14.2,8.9,4.1,1.1,0.3,49.7,50.3,URBAN
P.020_N.07,KELANTAN,P.020,PENGKALAN CHEPA,N.07,PANCHOR,28509,97.81,1.41,0.23,0.01,0.11,0.17,0.26,95.13,0.04,4.83,0,25.2,27.9,17.6,15.5,9,3.9,0.9,0.2,49.1,50.9,URBAN
P.021_N.08,KELANTAN,P.021,KOTA BHARU,N.08,TANJONG MAS,32114,92.83,6.28,0.35,0,0.04,0.04,0.47,99.96,0.04,0,0,25.6,28.1,16.9,15,9.3,3.9,1,0.2,48.6,51.4,URBAN
P.021_N.09,KELANTAN,P.021,KOTA BHARU,N.09,KOTA LAMA,28157,65.01,32.7,1.46,0,0.06,0.09,0.68,97.61,0.02,2.37,0,25.6,28.1,16.9,15,9.3,3.9,1,0.2,49.1,50.9,URBAN
P.021_N.10,KELANTAN,P.021,KOTA BHARU,N.10,BUNUT PAYONG,28437,94.26,4.85,0.58,0,0.02,0.04,0.25,99.95,0.05,0,0,20.6,25.2,19.5,16.5,11.1,5.4,1.5,0.3,49.0,51.0,URBAN
P.022_N.11,KELANTAN,P.022,PASIR MAS,N.11,TENDONG,23906,98.18,1.53,0.02,0,0.03,0.03,0.22,99.95,0,0.05,0,22.2,24.8,19.2,15.8,9.9,5.8,1.8,0.5,49.0,51.0,SEMI URBAN
P.022_N.12,KELANTAN,P.022,PASIR MAS,N.12,PENGKALAN PASIR,25817,95.63,3.95,0.14,0.02,0.03,0.05,0.18,98.44,0.01,1.55,0,20.3,26.3,18.5,16.2,11,5.7,1.6,0.4,49.3,50.7,SEMI URBAN
P.022_N.13,KELANTAN,P.022,PASIR MAS,N.13,MERANTI,21499,99.27,0.13,0.01,0,0.02,0.03,0.54,99.83,0.01,0.16,0,20.4,25.1,19.5,15.3,10,6.6,2.1,0.9,49.7,50.3,RURAL
P.023_N.14,KELANTAN,P.023,RANTAU PANJANG,N.14,CHETOK,22149,95.27,4.49,0.03,0,0.01,0.04,0.16,99.98,0.02,0,0,21.8,24.8,18.7,15.9,10.4,6.3,1.8,0.4,48.7,51.3,SEMI URBAN
P.023_N.15,KELANTAN,P.023,RANTAU PANJANG,N.15,GUAL PERIOK,24046,97.65,1.29,0.08,0,0.04,0.06,0.88,99.56,0.02,0.25,0.17,20.6,23.7,20.4,16.7,10.9,5.2,1.7,0.7,51.7,48.3,SEMI URBAN
P.023_N.16,KELANTAN,P.023,RANTAU PANJANG,N.16,APAM PUTRA,19920,98.12,0.28,0.1,0.01,0.02,0.03,1.46,99.93,0.02,0.06,0,21.4,24.6,18.9,16.7,10.5,5.7,1.7,0.5,49.9,50.1,SEMI URBAN
P.024_N.17,KELANTAN,P.024,KUBANG KERIAN,N.17,SALOR,27164,98.36,1.43,0.06,0,0.04,0.04,0.07,99.99,0.01,0,0,21.1,25.6,19.5,16.1,9.8,5.8,1.8,0.3,48.4,51.6,SEMI URBAN
P.024_N.18,KELANTAN,P.024,KUBANG KERIAN,N.18,PASIR TUMBOH,26257,98.38,1.24,0.13,0.01,0.03,0.05,0.16,99.92,0.02,0.06,0,26.3,25.6,17,15.6,9.3,4.5,1.4,0.3,49.0,51.1,SEMI URBAN
P.024_N.19,KELANTAN,P.024,KUBANG KERIAN,N.19,DEMIT,28597,97.26,2.33,0.21,0.01,0.03,0.03,0.13,99.7,0.03,0.26,0,25,26.7,17.6,15.2,9.3,4.5,1.4,0.3,49.0,51.0,URBAN
P.025_N.20,KELANTAN,P.025,BACHOK,N.20,TAWANG,31434,99.04,0.77,0.03,0,0.02,0.04,0.1,99.95,0.01,0.04,0,23.4,26.9,19.8,14.4,9,5,1.1,0.4,48.5,51.5,SEMI URBAN
P.025_N.21,KELANTAN,P.025,BACHOK,N.21,PANTAI IRAMA,30719,97.6,1.38,0.06,0.01,0.02,0.03,0.9,99.22,0.02,0.77,0,23.6,26.5,19.6,15.2,9.2,4.5,1.1,0.3,49.0,51.0,SEMI URBAN
P.025_N.22,KELANTAN,P.025,BACHOK,N.22,JELAWAT,30453,98.72,1.08,0.03,0,0.02,0.02,0.13,99.96,0,0.04,0,23,26.8,18.9,14.8,9.7,5,1.3,0.3,48.5,51.5,SEMI URBAN
