UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOT ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN CANDIDATE VOTE,BN CANDIDATE LOST DEPOSIT,PH,PH CANDIDATE,PH CANDIDATE SEX,PH CANDIDATE AGE,PH CANDIDATE VOTE,PH CANDIDATE LOST DEPOSIT,GS,GS CANDIDATE,GS CANDIDATE SEX,GS CANDIDATE AGE,GS CANDIDATE VOTE,GS CANDIDATE LOST DEPOSIT,GSABAH (1),GSABAH (1) CANDIDATE,GSABAH (1) CANDIDATE SEX,GSABAH (1) CANDIDATE AGE,GSABAH (1) VOTE,GSABAH (2),GSABAH (2) CANDIDATE,GSABAH (2) CANDIDATE SEX,GSABAH (2) CANDIDATE AGE,GSABAH (2) VOTE,WARISAN,WARISAN CANDIDATE,WARISAN CANDIDATE SEX,WARISAN CANDIDATE AGE,WARISAN CANDIDATE VOTE,OTHER PARTY 1,OTHER PARTY 1 CANDIDATE,OTHER PARTY 1 CANDIDATE SEX,OTHER PARTY 1 CANDIDATE AGE,OTHER PARTY 1 CANDIDATE VOTE,OTHER PARTY 2,OTHER PARTY 2 CANDIDATE,OTHER PARTY 2 CANDIDATE SEX,OTHER PARTY 2 CANDIDATE AGE,OTHER PARTY 2 CANDIDATE VOTE,OTHER PARTY 3,OTHER PARTY 3 CANDIDATE,OTHER PARTY 3 CANDIDATE VOTE,INDEPENDENT 1,INDEPDENDENT 1 CANDIDATE,INDEPENDENT 1 CANDIDATE SEX,INDEPENDENT 1 CANDIDATE AGE,INDEPENDENT 1 CANDIDATE VOTE,INDEPENDENT 2,INDEPDENDENT 2 CANDIDATE,INDEPENDENT 2 CANDIDATE SEX,INDEPENDENT 2 CANDIDATE AGE,INDEPENDENT 2 CANDIDATE VOTE
P.131,NEGERI SEMBILAN,P.131,REMBAU,BN - UMNO,,88365,4364,85.23,75315,406,1053,73856,UMNO,KHAIRY JAMALUDDIN,MALE,42,36096,,PKR,LT KOL ROSELI BIN ABDUL GANI (B),MALE,,31732,,PAS,MUSTAFA,MALE,66,6028,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.132,NEGERI SEMBILAN,P.132,PORT DICKSON,PH - PKR,,75212,17710,83.16,62548,266,948,61334,MIC,DATO VS MOGAN,MALE,50,18515,,PKR,DATO DANYAL,MALE,68,36225,,PAS,USTAZ MAHFUZ ROSLAN,MALE,34,6594,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.133,NEGERI SEMBILAN,P.133,TAMPIN,PH - PAN,,60765,1002,81.49,49515,199,850,48466,UMNO,SHAZIMAN BIN ABU MANSOR,MALE,54,21433,,PAN,DR HASAN BAHROM,MALE,62,22435,,PAS,MEJAR ABDUL HALIM BIN ABU BAKAR (BERSARA),MALE,52,4598,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.134,MELAKA,P.134,MASJID TANAH,BN - UMNO,,51441,8159,83.77,43093,132,636,42325,UMNO,MAS ERMIEYATI,FEMALE,42,22898,,PPBM,DATUK DR. SABIRIN BIN JA'AFAR,MALE,54,14739,,PAS,USTAZ NASIR OTHMAN,MALE,42,4688,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.135,MELAKA,P.135,ALOR GAJAH,PH - PPBM,,70364,6980,83.85,59000,178,1007,57815,MCA,WONG NAI CHEE,MALE,49,22350,,PPBM,MOHD REDZUAN YUSOF (PAK WAN ),MALE,61,29330,,PAS,NAZREE ARIS,MALE,46,6135,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.136,MELAKA,P.136,TANGGA BATU,PH - PKR,,83213,4659,84.67,70453,166,1145,69142,UMNO,DATUK ZALI MAT YASIN.,MALE,,27761,,PKR,PROF. MADYA RUSNAH,FEMALE,56,32420,,PAS,TUAN GURU UST ZULKIFLI ISMAIL,MALE,52,8961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.137,MELAKA,P.137,HANG TUAH JAYA,PH - PKR,,89364,8640,87.01,77758,266,909,76583,UMNO,TAN SRI HJ MOHD ALI BIN MOHD RUSTAM,MALE,69,30427,,PKR,SHAMSUL ISKANDAR HAJI MOHD AKIN,MALE,44,39067,,PAS,DR KHALID KASSIM,MALE,,7089,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.138,MELAKA,P.138,KOTA MELAKA,PH - DAP,,126848,49175,84.42,107085,377,1432,105276,MCA,ERIC CHOO WEI SERN,MALE,31,27343,,DAP,KHOO POAY TIONG,MALE,48,76518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - KEY,GOH LEONG SAN,MALE,,1415,,,,,
P.139,MELAKA,P.139,JASIN,BN - UMNO,,73432,219,85.67,62912,239,912,61761,UMNO,DATUK SERI HAJI AHMAD HAMZAH,MALE,70,26560,,PAN,KHAIRUDDIN ABU HASSAN,MALE,56,26341,,PAS,ABD. ALIM SHAPIE,MALE,60,8860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.140,JOHOR,P.140,SEGAMAT,PH - PKR,,55350,5476,83.41,46170,124,726,45320,MIC,DR. S. SUBRAMANIAM,MALE,65,18584,,PKR,DATO' SERI DR. SANTHARA,MALE,47,24060,,PAS,KHAIRUL FAIZI BIN AHMAD KAMIL,MALE,45,2676,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.141,JOHOR,P.141,SEKIJANG,PH - PKR,,45596,1281,84.5,38527,132,558,37837,UMNO,DATUK AYUB BIN RAHMAT,MALE,49,18278,,PKR,NATRAH ISMAIL,FEMALE,68,19559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.142,JOHOR,P.142,LABIS,PH - DAP,,40356,3410,82.13,33146,78,490,32578,MCA,CHUA TEE YONG,MALE,41,13567,,DAP,PANG HOK LIONG,MALE,61,16977,,PAS,DATUK SARCHU SAWAL,MALE,69,2034,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.143,JOHOR,P.143,PAGOH,PH - PPBM,,51512,6927,84.77,43667,302,693,42672,UMNO,ISMAIL BIN MOHAMED,MALE,47,16631,,PPBM,TAN SRI MUHYIDDIN YASSIN,MALE,71,23558,,PAS,AHMAD NAWFAL BIN MAHFODZ,MALE,34,2483,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.144,JOHOR,P.144,LEDANG,PH - PKR,,77474,8666,86.1,66708,246,1048,65414,UMNO,DATUK IR. DR. HJ. HAMIM SAMURI,MALE,60,26040,,PKR,SYED IBRAHIM BIN SYED NOH,MALE,54,34706,,PAS,RUSMAN BIN KEMIN,MALE,,4668,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.145,JOHOR,P.145,BAKRI,PH - DAP,,73883,23211,84.77,62632,201,631,61800,MCA,KOH CHON CHAI,MALE,51,15507,,DAP,YEO BEE YIN,FEMALE,35,38718,,PAS,ZARUL BIN SALLEH,MALE,39,7575,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.146,JOHOR,P.146,MUAR,PH - PPBM,,50843,6953,84.31,42868,149,636,42083,UMNO,DATUK SERI RAZALI BIN IBRAHIM,MALE,48,15388,,PPBM,SYED SADDIQ,MALE,26,22341,,PAS,CIKGU HAJI ABDUL AZIZ BIN TALIB,MALE,60,4354,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.147,JOHOR,P.147,PARIT SULONG,BN - UMNO,,59609,6341,85.19,50778,177,832,49769,UMNO,DATO' DR. NORAINI AHMAD,FEMALE,51,24481,,PAN,ANIS AFIDA,FEMALE,27,18140,,PAS,AHMAD ROSDI BIN BAHARI,MALE,43,7148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.148,JOHOR,P.148,AYER HITAM,BN - MCA,,46157,303,85.52,39474,94,556,38824,MCA,WEE KA SIONG,MALE,50,17076,,DAP,LIEW CHIN TONG,MALE,41,16773,,PAS,HJ MARDI MARWAN,MALE,,4975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.149,JOHOR,P.149,SRI GADING,PH - PPBM,,52119,3288,86.71,45193,276,635,44282,UMNO,DATUK AZIZ KAPRAWI,MALE,59,18223,,PPBM,DATUK DR SHAHRUDDIN SALLEH,MALE,62,21511,,PAS,LT KOL HJ M ASHARI SIDON,MALE,58,4548,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.150,JOHOR,P.150,BATU PAHAT,PH - PKR,,98543,17894,84.81,83574,340,1097,82137,UMNO,HALIZA BINTI ABDULLAH,FEMALE,51,28035,,PKR,MOHD RASHID,MALE,58,45929,,PAS,DATO' DR MAHFODZ BIN MOHAMED,MALE,74,8173,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.151,JOHOR,P.151,SIMPANG RENGGAM,PH - PPBM,,43998,3475,83.4,36695,94,779,35822,GERAKAN,LIANG TECK MENG,MALE,47,14682,,PPBM,DR.MASZLEE MALIK,MALE,44,18157,,PAS,HJ JUBRI,MALE,61,2983,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.152,JOHOR,P.152,KLUANG,PH - DAP,,96915,23053,84.45,81841,389,921,80531,MCA,GAN PING SIEU,MALE,52,24618,,DAP,WONG SHU QI,FEMALE,35,47671,,PAS,HASBULLAH NAJIB,MALE,30,8242,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.153,JOHOR,P.153,SEMBRONG,BN - UMNO,,44137,6662,83.3,36768,126,598,36044,UMNO,DATO' SERI HISHAMMUDDIN TUN HUSSEIN,MALE,57,21353,,PKR,ONN BIN ABU BAKAR,MALE,55,14691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.154,JOHOR,P.154,MERSING,BN - UMNO,,48176,8459,79.51,38306,142,796,37368,UMNO,DR ABD LATIFF,MALE,60,19806,,PPBM,IR MD NASIR BIN HASHIM,MALE,,11347,,PAS,A. RAHMAN BIN A. HAMID,MALE,65,6215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.155,JOHOR,P.155,TENGGARA,BN - UMNO,,44749,5933,84.51,37818,120,664,37034,UMNO,DATUK SERI DR. ADHAM BIN BABA,MALE,56,20142,,PPBM,NORJEPRI BIN MOHAMED JELANI,MALE,52,14209,,PAS,CIKGU YUHA,FEMALE,43,2683,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.156,JOHOR,P.156,KOTA TINGGI,BN - UMNO,,46677,14621,84.45,39418,423,802,38193,UMNO,DATUK HALIMAH BINTI MOHAMED SADIQUE,FEMALE,56,26407,,PPBM,HJH AZLINDA LATIF,FEMALE,,11786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.157,JOHOR,P.157,PENGERANG,BN - UMNO,,40479,11417,82.96,33580,782,557,32241,UMNO,AZALINA OTHMAN SAID,FEMALE,55,21829,,PPBM,NORLIZA NGADIRAN,FEMALE,,10412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.158,JOHOR,P.158,TEBRAU,PH - PKR,,123033,37225,85.68,105420,274,1203,103943,MCA,HOU KOK CHUNG,MALE,55,27310,,PKR,STEVEN CHOONG,MALE,61,64535,,PAS,USTAZ ABDULLAH HUSIN,MALE,57,12098,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.159,JOHOR,P.159,PASIR GUDANG,PH - PKR,,124172,24726,85.83,106576,225,1342,105009,UMNO,MOHAMED KHALED NORDIN,MALE,60,36889,,PKR,HASSAN BIN ABDUL KARIM,MALE,67,61615,,PAS,AB.AZIZ BIN ABDULLAH,MALE,49,6278,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - CAR,CHEE JOCK,MALE,69,227,,,,,
P.160,JOHOR,P.160,JOHOR BAHRU,PH - PKR,,101409,19782,80.51,81645,267,1056,80322,UMNO,TAN SRI SHAHRIR ABDUL SAMAD,MALE,69,30270,,PKR,AKMAL NASIR,MALE,32,50052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.161,JOHOR,P.161,PULAI,PH - PAN,,106268,28924,82.92,88116,257,966,86893,UMNO,DATUK NUR JAZLAN BIN MOHAMED,MALE,52,26523,,PAN,SALAHUDDIN AYUB,MALE,57,55447,,PAS,DR. MOHD MAZRI BIN YAHYA,MALE,,4332,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT - TELEPHONE,YAP KENG TAK,MALE,59,591,,,,,
P.162,JOHOR,P.162,ISKANDAR PUTERI,PH - DAP,,138299,44864,85.89,118779,204,1987,116588,MCA,JASON TEOH SEW HOCK,MALE,49,35862,,DAP,LIM KIT SIANG,MALE,77,80726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.163,JOHOR,P.163,KULAI,PH - DAP,,99147,32748,86.42,85687,168,976,84543,MCA,TANG NAI SOON,MALE,49,22564,,DAP,TEO NIE CHING,FEMALE,37,55312,,PAS,USTAZ JUWAHIR BIN AMIN,MALE,,6667,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.164,JOHOR,P.164,PONTIAN,BN - UMNO,,55570,833,84.01,46683,219,738,45726,UMNO,DATUK SERI HAJI AHMAD HAJI MASLAN,MALE,52,21132,,PPBM,HAJI KARMAINE BIN SARDINI,MALE,65,20299,,PAS,DR BAHAROM MOHAMAD,MALE,,4295,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.165,JOHOR,P.165,TANJUNG PIAI,PH - PPBM,,53528,524,85.67,45858,69,841,44948,MCA,WEE JECK SENG,MALE,54,20731,,PPBM,MD FARID,MALE,42,21255,,PAS,NORDIN BIN OTHMAN,MALE,,2962,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.166,WILAYAH PERSEKUTUAN LABUAN,P.166,LABUAN,BN - UMNO,,28356,1450,76.63,21729,69,302,21358,UMNO,ROZMAN BIN ISLI,MALE,53,10164,,,,,,,,PAS,USTAZ JUNID,MALE,,1555,LOST DEPOSIT,PHRS,SITI ZALEHA BINTI S.W. IBRAHIM,FEMALE,,925,,,,,,WARISAN,NOOR HALIM BIN ZAINI,MALE,53,8714,,,,,,,,,,,,,,,,,,,,,,,
P.167,SABAH,P.167,KUDAT,BN - UMNO,,52251,1359,73.12,38205,171,955,37079,UMNO,DATUK ABD RAHIM BAKRI,MALE,57,18503,,,,,,,,,,,,,,,,,,,PPRS,MOHD ASHRAF CHIN ABDULLAH,MALE,,1432,WARISAN,SHARIFF AZMAN SH ALONG,MALE,48,17144,,,,,,,,,,,,,,,,,,,,,,,
P.168,SABAH,P.168,KOTA MARUDU,BN - PBS,,47007,1774,74.95,35231,146,1179,33906,PBS,DATUK SERI PANGLIMA DR. MAXIMUS JOHNITY ONGKILI,MALE,65,13033,,,,,,,,,,,,,,PHRS,DATUK MAIJOL MAHAP,MALE,,11259,,,,,,WARISAN,BARLUS BIN MANGABIS,MALE,,7113,PCS,DR. PAUL PORODONG,MALE,,2501,,,,,,,,,,,,,,,,,,
P.169,SABAH,P.169,KOTA BELUD,WARISAN,,57919,4262,82.12,47565,294,1173,46098,UMNO,SALLEH SAID KERUAK,MALE,61,19167,,,,,,,,PAS,HJ. AG LAIMAN BIN HJ. IKIN,MALE,57,1410,LOST DEPOSIT,PHRS,MIASIN @ AIMADUDDIN BIN MION,MALE,,2092,,,,,,WARISAN,MUNIRAH MAJILIS,FEMALE,36,23429,,,,,,,,,,,,,,,,,,,,,,,
P.170,SABAH,P.170,TUARAN,BN - UPKO,,54400,7624,82.42,44834,233,958,43643,UPKO,DATUK SERI PANGLIMA WILFRED MADIUS TANGAU,MALE,60,22494,,PKR,CHRISNADIA SINAM,FEMALE,35,14870,,PAS,PAUMIN @ MOD AMINUDDIN BIN ALING,MALE,,1357,LOST DEPOSIT,PHRS,SYRA PETER @ P GOM,FEMALE,,2311,,,,,,,,,,,PCS,KALAKAU @ KALAKAN BIN UNTOL @ ENTO,MALE,,2611,,,,,,,,,,,,,,,,,,
P.171,SABAH,P.171,SEPANGGAR,WARISAN,,62415,12984,78.53,49012,314,913,47785,UMNO,ABD RAHMAN BIN DAHLAN,MALE,53,15436,,,,,,,,,,,,,,SAPP,JEFFREY KUMIN,MALE,51,2958,,,,,,WARISAN,MOHD AZIS BIN JAMMAN,MALE,44,28420,PCS,ROBERT SOPINING,MALE,,971,,,,,,,,,,,,,,,,,,
P.172,SABAH,P.172,KOTA KINABALU,PH - DAP,,56220,24086,76.44,42973,100,563,42310,PBS,DR. JOSEPH LEE HAN KYUN,MALE,46,7546,,DAP,CHAN FOONG HIN,MALE,40,31632,,,,,,,,SAPP,YONG TECK LEE,MALE,60,3132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.173,SABAH,P.173,PUTATAN,PH - PKR,,41312,2339,77.13,31865,249,826,30790,UPKO,DATUK DR. MARCUS MAKIN MOJIGOH,MALE,66,11767,,PKR,AWANG HUSAINI BIN DATUK SAHARI,MALE,51,14106,,PAS,ZULZAIM HILMEE ABIDIN,MALE,,2434,LOST DEPOSIT,PHRS,EDMUND JIVOL DOUDILIM,MALE,60,1755,,,,,,,,,,,ANAKNEGERI,MIL KUSIN ABDILLAH SULAI,MALE,,728,,,,,,,,,,,,,,,,,,
P.174,SABAH,P.174,PENAMPANG,WARISAN,,53131,23473,82.17,43659,134,417,43108,UPKO,CEASAR MANDELA MALAKUN,MALE,27,8997,,,,,,,,,,,,,,STAR,CLEFTUS STEPHEN SPINE,MALE,63,1196,,,,,,WARISAN,DARELL LEIKING,MALE,44,32470,ANAKNEGERI,DR. EDWIN @ JACK BOSI,MALE,62,445,,,,,,,,,,,,,,,,,,
P.175,SABAH,P.175,PAPAR,WARISAN,,43586,325,83.83,36540,161,543,35836,UMNO,ROSNAH HJ ABD RASHID SHIRLIN,FEMALE,46,17069,,,,,,,,,,,,,,STAR,JAMIL BIN WILLIAM CORE,MALE,54,892,,,,,,WARISAN,AHMAD BIN HASSAN,MALE,58,17394,PCS,ELBERT BIN SIKUIL,MALE,,481,,,,,,,,,,,,,,,,,,
P.176,SABAH,P.176,KIMANIS,BN - UMNO,,29618,156,86.16,25519,106,385,25028,UMNO,ANIFAH AMAN,MALE,65,11942,,,,,,,,,,,,,,PHRS,JAAFAR BIN ISMAIL,MALE,61,1300,,,,,,WARISAN,KARIM BIN BUJANG,MALE,65,11786,,,,,,,,,,,,,,,,,,,,,,,
P.177,SABAH,P.177,BEAUFORT,BN - UMNO,,33342,3331,84.44,28154,143,799,27212,UMNO,DATUK AZIZAH BINTI MOHD DUN,FEMALE,58,11354,,PKR,DATUK JOHN OT GHANI,MALE,68,7835,,,,,,,,PHRS,LAJIM BIN UKIN (DATUK SERI PANGLIMA),MALE,63,8023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.178,SABAH,P.178,SIPITANG,BN - UMNO,,31882,852,79.93,25483,116,596,24771,UMNO,HAFEZ MUSA,MALE,39,12038,,,,,,,,,,,,,,PHRS,DAYANG AEZZY BINTI LIMAN,FEMALE,,1547,,,,,,WARISAN,NOOR HAYATY BINTI MUSTAPHA,FEMALE,48,11186,,,,,,,,,,,,,,,,,,,,,,,
P.179,SABAH,P.179,RANAU,PH - PKR,,43706,1076,77.57,33904,193,769,32942,UPKO,DATUK DR. EWON EBIN,MALE,64,13804,,PKR,JONATHAN BIN YASIN,MALE,,14880,,,,,,,,STAR,SOUDI @ SAMI BIN ANDANG,MALE,,3148,,,,,,,,,,,PCS,ANDAU BIN YASUN @ BRUNO,MALE,,1110,,,,,,,,,,,,,,,,,,
P.180,SABAH,P.180,KENINGAU,GSABAH - STAR,,51177,45,79.94,40913,242,522,40149,PBS,DATUK DANIEL KINSIK,MALE,59,12742,,,,,,,,,,,,,,STAR,DATUK DR. JEFFREY KITINGAN,MALE,70,13286,,,,,,WARISAN,JAKE NOINTIN,MALE,,13241,PCS,JIUS BIN AWANG,MALE,,433,,,,,,,,,INDEPENDENT - KEY,MAIMIN @ JEFFRUS RIJAN,MALE,,248,INDEPENDENT - BOOK,DATUK JUSTIN GUKA,MALE,,199
P.181,SABAH,P.181,TENOM,PH - DAP,,29182,1133,78.91,23027,128,661,22238,UMNO,RUBIN BIN BALANG,MALE,55,10230,,DAP,NOORITA SUAL,FEMALE,38,11363,,,,,,,,PHRS,LAIMOI @ YUSLINAH BINTI LAIKIM,FEMALE,,645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.182,SABAH,P.182,PENSIANGAN,BN - PBRS,,31377,2314,79.53,24955,59,528,24368,PBRS,ARTHUR JOSEPH KURUP,MALE,36,11783,,PKR,RAYMOND BIN AHUAR,MALE,33,9469,,,,,,,,STAR,RICHARD JOE JIMMY,MALE,,2839,,,,,,,,,,,PCS,MAIDIN BIN ATAK @ MAIDIN HAJI OSMAN,MALE,,212,,,,,,,,,INDEPENDENT - HOUSE,ENGAH BIN SINTAN,MALE,,65,,,,,
P.183,SABAH,P.183,BELURAN,BN - UMNO,,28509,7115,75.79,21606,76,832,20698,UMNO,DATUK RONALD KIANDEE,MALE,57,13007,,,,,,,,,,,,,,PHRS,SIPIN BIN KADANDI,MALE,,996,PPRS,LEM MATIN @ SALIM BIN MATIN,MALE,,273,WARISAN,DR. JAPAR BIN ZAIRUN,MALE,49,5892,PCS,TOIDY LUIT,MALE,,284,,,,,,,,,INDEPENDENT - BOOK,SALIMAH BINTI OYONG,FEMALE,,246,,,,,
P.184,SABAH,P.184,LIBARAN,BN - UMNO,,47914,678,77.74,37248,157,948,36143,UMNO,ZAKARIA BIN MOHD. EDRIS @ TUBAU,MALE,58,17799,,,,,,,,,,,,,,PHRS,ALFIAN BIN MANSYUR,MALE,35,1223,,,,,,WARISAN,IRWANSHAH BIN MUSTAPA,MALE,,17121,,,,,,,,,,,,,,,,,,,,,,,
P.185,SABAH,P.185,BATU SAPI,WARISAN,,32574,4619,73.77,24029,113,655,23261,PBS,LINDA TSEN THAU LIN,MALE,62,8357,,PAN,HAMZAH ABDULLAH,MALE,64,980,LOST DEPOSIT,PAS,NORSAH BONGSU,FEMALE,47,948,LOST DEPOSIT,,,,,,,,,,,WARISAN,LIEW VUI KEONG,MALE,58,12976,,,,,,,,,,,,,,,,,,,,,,,
P.186,SABAH,P.186,SANDAKAN,PH - DAP,,39777,10098,72.07,28668,76,502,28090,LDP,LIM MING HOO,MALE,59,8996,,DAP,STEPHEN WONG TIEN FATT,MALE,64,19094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.187,SABAH,P.187,KINABATANGAN,BN - UMNO,,28730,9478,77.47,22257,78,661,21518,UMNO,BUNG MOKTAR RADIN,MALE,59,14465,,,,,,,,,,,,,,PHRS,MUSTAPA BIN DATU TAMBUYONG,MALE,,2066,,,,,,WARISAN,GHAZALI ABDUL GHANI,MALE,,4987,,,,,,,,,,,,,,,,,,,,,,,
P.188,SABAH,P.188,SILAM,WARISAN,,60942,6401,72.68,44294,175,1079,43040,UMNO,DATU NASRUN BIN DATU MANSUR,MALE,66,16951,,,,,,,,PAS,RAMLI BIN PATARUDDIN,MALE,44,1431,LOST DEPOSIT,PHRS,SITI SHAZIANTI BINTI AJAK,FEMALE,,1306,,,,,,WARISAN,MOHAMADDIN BIN KETAPI,MALE,61,23352,,,,,,,,,,,,,,,,,,,,,,,
P.189,SABAH,P.189,SEMPORNA,WARISAN,,48248,20674,71.74,34613,205,982,33426,UMNO,HAJI RAMLEE MARAHABAN,MALE,55,6135,,,,,,,,PAS,ABDUL NASIR BIN AB RAUP,MALE,42,384,LOST DEPOSIT,PHRS,ASMARA BIN ASMAD,MALE,,98,,,,,,WARISAN,MOHD. SHAFIE APDAL,MALE,62,26809,,,,,,,,,,,,,,,,,,,,,,,
P.190,SABAH,P.190,TAWAU,PH - PKR,,59919,4727,73.2,43861,127,981,42753,PBS,MARY YAP KAIN CHING,FEMALE,67,16673,,PKR,CHRISTINA LIEW,FEMALE,66,21400,,PAS,MOHAMAD BIN HUSAIN,MALE,66,2518,LOST DEPOSIT,PHRS,ALIZAMAN BIN JIJURAHMAN,MALE,,2162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.191,SABAH,P.191,KALABAKAN,WARISAN,,52199,3187,72.88,38041,292,840,36909,UMNO,ABDUL GHAPUR SALLEH,MALE,75,15299,,,,,,,,PAS,NORBIN BIN ALOH,MALE,,2813,LOST DEPOSIT,PPRS,AHMAD BIN LAHAMA,MALE,,311,,,,,,WARISAN,MA'MUN BIN SULAIMAN,MALE,62,18486,,,,,,,,,,,,,,,,,,,,,,,
P.192,SARAWAK,P.192,MAS GADING,PH - DAP,,29617,3024,77.06,22822,68,236,22518,PDP,NOGEH ANAK GUMBEK,MALE,61,9747,,DAP,MORDI ANAK BIMOL,MALE,33,12771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.193,SARAWAK,P.193,SANTUBONG,BN - PBB,,45628,19485,74.23,33868,155,440,33273,PBB,WAN JUNAIDI BIN TUANKU JAAFAR,MALE,72,26379,,PAN,MOHAMAD FIDZUAN BIN ZAIDI,MALE,40,6894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.194,SARAWAK,P.194,PETRA JAYA,BN - PBB,,57925,15017,75.12,43513,214,354,42945,PBB,FADILLAH BIN YUSOF,MALE,56,28306,,PKR,NOR IRWAN BIN AHMAT NOR,MALE,42,13289,,PAS,HAMDAN BIN SANI,MALE,31,1350,LOST DEPOSIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.195,SARAWAK,P.195,BANDAR KUCHING,PH - DAP,,81856,35973,75.11,61483,119,241,61123,SUPP,KHO TECK WAN,FEMALE,41,12575,,DAP,KELVIN YII LEE WUEN,MALE,32,48548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.196,SARAWAK,P.196,STAMPIN,PH - DAP,,66240,14221,79.33,52550,243,408,51899,SUPP,SIM KUI HIAN,MALE,53,18839,,DAP,CHONG CHIENG JEN,MALE,47,33060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
