UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P.29_NO. 34,PERAK,P.29,SUNGEI SIPUT,NO. 34,JALONG,ALLIANCE - MCA,SEE KHOON LIM,MALE,50,
P.30_NO. 35,PERAK,P.30,ULU KINTA,NO. 35,CHEMOR,PPP,TEOH KIM SWEE,MALE,,
P.30_NO. 36,PERAK,P.30,ULU KINTA,NO. 36,SUNGEI RAIA,PPP,CHIN FOON,MALE,,
P.31_NO. 37,PERAK,P.31,BATU GAJAH,NO. 37,TANJONG TUALANG,ALLIANCE - MCA,TOO JOON TING,MALE,45,
P.31_NO. 38,PERAK,P.31,BATU GAJAH,NO. 38,PUSING,PPP,KHONG KOK YAT,MALE,29,
P.32_NO. 39,PERAK,P.32,KAMPAR,NO. 39,GOPENG,PPP,HOR HOCK LUNG,MALE,,
P.32_NO. 40,PERAK,P.32,KAMPAR,NO. 40,KUALA DIPANG,ALLIANCE - MCA,TEH SIEW ENG,MALE,,
P.33_NO. 1,SELANGOR,P.33,BATU,NO. 1,KEPONG,ALLIANCE - MCA,CHAN KEONG HON,MALE,,
P.33_NO. 2,SELANGOR,P.33,BATU,NO. 2,PENCHALA,ALLIANCE - MCA,LIM JEW SIANG,MALE,,
P.34_NO. 3,SELANGOR,P.34,BUNGSAR,NO. 3,PANTAI,SF - LPM,V. DAVID,MALE,26,
P.34_NO. 4,SELANGOR,P.34,BUNGSAR,NO. 4,SALAK,ALLIANCE - MCA,DOUGLAS K.K. LEE,MALE,36,
P.35_NO. 5,SELANGOR,P.35,BUKIT BINTANG,NO. 5,BUKIT NANAS,ALLIANCE - MCA,LEE YOON THIM,MALE,50,
P.35_NO. 6,SELANGOR,P.35,BUKIT BINTANG,NO. 6,KAMPONG BAHRU,ALLIANCE - UMNO,ABDULLAH YASSIN,MALE,,
P.36_NO. 7,SELANGOR,P.36,SETAPAK,NO. 7,AMPANG,ALLIANCE - UMNO,MAHYEEDDIN BIN MOHD. ZAKARIA,MALE,,
P.36_NO. 8,SELANGOR,P.36,SETAPAK,NO. 8,SENTUL,SF - PRM,NAZAR NONG,MALE,31,
P.37_NO. 9,SELANGOR,P.37,ULU SELANGOR,NO. 9,ULU BERNAM,ALLIANCE - UMNO,HJ. NOR BIN HAJI YUSOF,MALE,,
P.37_NO. 10,SELANGOR,P.37,ULU SELANGOR,NO. 10,KUALA KUBU,ALLIANCE - MCA,WONG SWEE SOON,MALE,27,Y
P.38_NO. 11,SELANGOR,P.38,RAWANG,NO. 11,SERENDAH,INDEPENDENT,RAJAH,MALE,,
P.38_NO. 12,SELANGOR,P.38,RAWANG,NO. 12,KUANG,ALLIANCE - MCA,CHONG SHIH GUAN,MALE,,
P.39_NO. 13,SELANGOR,P.39,SABAK BERNAM,NO. 13,SABAK,ALLIANCE - UMNO,HAJI MUSTAFA BIN HAJI JABAR,MALE,,
P.39_NO. 14,SELANGOR,P.39,SABAK BERNAM,NO. 14,SUNGEI BESAR,ALLIANCE - UMNO,TAIBAN BIN HASSAN,MALE,,
P.40_NO. 15,SELANGOR,P.40,KUALA SELANGOR,NO. 15,TANJONG KARANG,ALLIANCE - UMNO,RAJA ROME BIN RAJA MA'AMOR,MALE,51,
P.40_NO. 16,SELANGOR,P.40,KUALA SELANGOR,NO. 16,KUALA SELANGOR PEKAN,ALLIANCE - MCA,TAN SIEW KANG,MALE,,
P.41_NO. 17,SELANGOR,P.41,LANGAT,NO. 17,KAJANG,ALLIANCE - UMNO,MUSTAFA YUNUS,MALE,,
P.41_NO. 18,SELANGOR,P.41,LANGAT,NO. 18,SEMENYIH,ALLIANCE - UMNO,DATO' KAMPO RADJO,MALE,37,
P.42_NO. 19,SELANGOR,P.42,SEPANG,NO. 19,DENGKIL,ALLIANCE - UMNO,ABU BAKAR BIN BAGINDA,MALE,60,
P.42_NO. 20,SELANGOR,P.42,SEPANG,NO. 20,SUNGEI RAWANG,INDEPENDENT,LIM TUANG SIONG,MALE,,
P.43_NO. 21,SELANGOR,P.43,KLANG,NO. 21,PORT SWETTENHAM,ALLIANCE - UMNO,ABDULLAH BIN HAJI HASSAN,MALE,,
P.43_NO. 22,SELANGOR,P.43,KLANG,NO. 22,KAMPONG JAWA,ALLIANCE - MCA,CHEONG JIN HOE,MALE,,
P.44_NO. 23,SELANGOR,P.44,KUALA LANGAT,NO. 23,TELOK DATOH,ALLIANCE - UMNO,RAJA ISMAIL BIN RAJA IBRAHIM,MALE,,
P.44_NO. 24,SELANGOR,P.44,KUALA LANGAT,NO. 24,MORIB,ALLIANCE - UMNO,MOHD. TAHIR BIN ABDUL MAJID,MALE,,
P.45_NO. 25,SELANGOR,P.45,KAPAR,NO. 25,JERAM,ALLIANCE - UMNO,HUSSAIN BIN ABDULLAH,MALE,,
P.45_NO. 26,SELANGOR,P.45,KAPAR,NO. 26,SEMENTA,ALLIANCE - UMNO,HAJI MAS'OD BIN HAYATI,MALE,,
P.46_NO. 27,SELANGOR,P.46,DAMANSARA,NO. 27,SERDANG,SF - PRM,K .KARAM SINGH,MALE,23,
P.46_NO. 28,SELANGOR,P.46,DAMANSARA,NO. 28,BUKIT RAJA,ALLIANCE - MIC,MURUGESU S/O SUNDRAM,MALE,,
P.47_NO. 1,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 1,KUALA KLAWANG,ALLIANCE - MCA,LIM KIM KEE,MALE,,
P.47_NO. 2,NEGRI SEMBILAN,P.47,JELEBU-JEMPOL,NO. 2,PERTANG,INDEPENDENT,AMINUDDIN BIN ABDUL MANAF,MALE,,
