UNIQUE CODE,STATE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL REJECTED VOTES,TOTAL VALID VOTES,ALLIANCE,ALLIANCE CANDIDATE,ALLIANCE CANDIDATE SEX,ALLIANCE CANDIDATE AGE,ALLIANCE VOTE,ALLANCE CANDIDATE LOST DEPOSIT,SF,SF CANDIDATE,SF CANDIDATE SEX,SF CANDIDATE AGE,SF CANDIDATE VOTE,SF CANDIDATE LOST DEPOSIT,PMIP,PMIP CANDIDATE,PMIP CANDIDATE SEX,PMIP CANDIDATE AGE,PMIP VOTE,PMIP CANDIDATE LOST DEPOSIT,PPP,PPP CANDIDATE,PPP CANDIDATE SEX,PPP CANDIDATE AGE,PPP CANDIDATE VOTE,PPP CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) CANDIDATE VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT
P.49,NEGRI SEMBILAN,P.49,PORT DICKSON,ALLIANCE - MIC,Y,15763,,,,,,MIC,MAHIMA SINGH,MALE,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.50,NEGRI SEMBILAN,P.50,REMBAU-TAMPIN,ALLIANCE - UMNO,,18571,5218,76.05,14123,167,13956,UMNO,HAJI REDZA BIN HAJI MOHD. SAID,MALE,48,9587,,,,,,,,,,,,,,,,,,,,NEGARA,BABA BIN LUDEK,MALE,,4369,,,,,,,,,,,,,
P.51,NEGRI SEMBILAN,P.51,SEREMBAN BARAT,INDEPENDENT,,14741,803,83.26,12274,71,12203,MIC,P.A.R.S. DAWOOD,MALE,,3409,,LPM,S. SATHAPPAN,MALE,,3949,,,,,,,,,,,,,,,,,,,,INDEPENDENT,QUEK KAI DONG,MALE,,4752,,INDEPENDENT,C. RAJADURAI,MALE,,93,LOST DEPOSIT
P.52,NEGRI SEMBILAN,P.52,SEREMBAN TIMOR,INDEPENDENT,,18678,1777,76.55,14298,103,14195,MCA,THAM TAT MING,MALE,,2061,,LPM,ROBERT SINGAM,MALE,,3985,,PMIP,MD. NOR BIN A.B. HAMID,MALE,,2387,,,,,,,,,,,,,,INDEPENDENT,CHIN SEE YIN,MALE,,5762,,,,,,,
P.53,PAHANG,P.53,LIPIS,ALLIANCE - UMNO,,21634,7876,72.61,15709,197,15512,UMNO,MOHD. SULONG BIN MOHD. ALI,MALE,51,11694,,,,,,,,PMIP,ABDUL HAMID BIN ABDULLAH,MALE,,3818,,,,,,,,,,,,,,,,,,,,,,,,,
P.54,PAHANG,P.54,RAUB,ALLIANCE - UMNO,,17359,1634,69.1,11995,101,11894,UMNO,HUSSEIN BIN HASSAN,MALE,,6764,,PRM,ABU BAKAR BIN MOHAMED RESAT,MALE,,5130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.55,PAHANG,P.55,BENTONG,ALLIANCE - MCA,,17829,3502,78.19,13941,157,13784,MCA,CHAN SIANG SUN,MALE,26,8643,,LPM,LIM ONG HANG,MALE,,5141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.56,PAHANG,P.56,TEMERLOH,ALLIANCE - UMNO,,20718,1353,71.47,14808,125,14683,UMNO,MOHD. YUSOF BIN MAHMUD,MALE,,8018,,LPM,ISHAK BIN HAJI MOHAMAD,MALE,50,6665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.57,PAHANG,P.57,KUANTAN,ALLIANCE - UMNO,,16552,6098,70.81,11720,106,11614,UMNO,ABDUL RAHMAN BIN HAJI TALIB,MALE,43,8856,,,,,,,,PMIP,HAJI HAMZAH BIN DAHAMAN,MALE,,2758,,,,,,,,,,,,,,,,,,,,,,,,,
P.58,PAHANG,P.58,PEKAN,ALLIANCE - UMNO,,15443,6218,74.52,11508,104,11404,UMNO,DATO ABDUL RAZAK BIN HUSSAIN,MALE,37,8811,,,,,,,,PMIP,MOHAMED ARIF BIN ABAS,MALE,45,2593,,,,,,,,,,,,,,,,,,,,,,,,,
P.59,JOHORE,P.59,JOHORE TIMOR,ALLIANCE - UMNO,,12196,5233,74.75,9116,175,8941,UMNO,DR. ISMAIL BIN DATO ABDUL RAHMAN,MALE,44,7087,,,,,,,,,,,,,,,,,,,,,,,,,,INDEPENDENT,ISMAIL BIN HAJI MOHD. ARIFF,MALE,,1854,,,,,,,
P.60,JOHORE,P.60,JOHORE TENGGARA,ALLIANCE - UMNO,Y,10986,,,,,,UMNO,SAYAD JA'AFAR BIN HASAN ALBAR,MALE,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.61,JOHORE,P.61,JOHORE BAHRU TIMOR,ALLIANCE - UMNO,,15918,3535,76.13,12119,112,12007,UMNO,HAJI MOHD. NOAH BIN OMAR,MALE,59,7771,,LPM,CHU CHOON YONG,MALE,,4236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
