UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,UNCONTESTED VICTORY,TOTAL ELECTORATE,WINNING MAJORITY,TURNOUT (%),TOTAL BALLOTS ISSUED,TOTAL UNRETURNED VOTES,TOTAL REJECTED VOTES,TOTAL VALID VOTES,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,BN CANDIDATE LOST DEPOSIT,APU,APU CANDIDATE,APU CANDIDATE SEX,APU CANDIDATE AGE,APU VOTE,APU CANDIDATE LOST DEPOSIT,GR,GR CANDIDATE,GR CANDIDATE SEX,GR CANDIDATE AGE,GR VOTE,GR CANDIDATE LOST DEPOSIT,S46,S46 CANDIDATE,S46 CANDIDATE SEX,S46 CANDIDATE AGE,S46 VOTE,S46 CANDIDATE LOST DEPOSIT,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (1) CANDIDATE LOST DEPOSIT,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,INDEPENDENT (2) CANDIDATE LOST DEPOSIT,INDEPENDENT (3),INDEPENDENT (3) CANDIDATE,INDEPENDENT (3) CANDIDATE SEX,INDEPENDENT (3) CANDIDATE AGE,INDEPENDENT (3) VOTE,INDEPENDENT (3) CANDIDATE LOST DEPOSIT
P. 45,PULAU PINANG,P. 45,BUKIT MERTAJAM,BN - MCA,,63255,12098,78.51,49659,92,1315,48252,MCA,DR TAN CHONG KENG,MALE,46,30175,,,,,,,,,,,,,,,,,,,,DAP,TEOH TEIK HUAT,MALE,,18077,,,,,,,,,,,,,,,,,,,
P. 46,PULAU PINANG,P. 46,NIBONG TEBAL,BN - GERAKAN,,49896,8529,76.77,38307,66,1312,36929,GERAKAN,DR. GOH CHENG TEIK,MALE,52,22729,,,,,,,,,,,,,,,,,,,,DAP,BALASUNDARAM A/L KANAGARATNAM,MALE,,14200,,,,,,,,,,,,,,,,,,,
P. 47,PULAU PINANG,P. 47,BUKIT BENDERA,BN - GERAKAN,,69242,2918,74.78,51777,217,1112,50448,GERAKAN,CHIA KWANG CHYE,MALE,43,26683,,,,,,,,,,,,,,,,,,,,DAP,GOOI HOCK SENG @ GOI HOCK SENG,MALE,,23765,,,,,,,,,,,,,,,,,,,
P. 48,PULAU PINANG,P. 48,TANJONG,DAP,,63350,6895,72.94,46205,234,822,45149,GERAKAN,OH KENG SENG,MALE,,18727,,,,,,,,PBS,KHOR NGAK SENG @ KHOR GARK KIM,MALE,,800,LOST DEPOSIT,,,,,,,DAP,LIM KIT SIANG,MALE,54,25622,,,,,,,,,,,,,,,,,,,
P. 49,PULAU PINANG,P. 49,JELUTONG,DAP,,59859,283,75.05,44922,74,914,43934,GERAKAN,RHINA BAR @ RANI RAJ PAUL,FEMALE,36,21613,,,,,,,,PBS,LIM CHEAK KOW,MALE,,425,LOST DEPOSIT,,,,,,,DAP,KARPAL SINGH A/L RAM SINGH,MALE,55,21896,,,,,,,,,,,,,,,,,,,
P. 50,PULAU PINANG,P. 50,BAYAN BARU,BN - MCA,,78458,6839,75.55,59273,176,908,58189,MCA,WONG KAM HOONG,MALE,48,32190,,,,,,,,PBS,LAKBHIR SINGH A/ SADU SINGH,MALE,,648,LOST DEPOSIT,,,,,,,DAP,AHMAD BIN NOR,MALE,52,25351,,,,,,,,,,,,,,,,,,,
P. 51,PULAU PINANG,P. 51,BALIK PULAU,BN - UMNO,,59045,30046,76.09,44928,117,1429,43382,UMNO,NUNGSARI BIN AHMAD RADHI,MALE,35,36714,,,,,,,,,,,,,,S46,YAHYA BIN JALI,MALE,,6668,,,,,,,,,,,,,,,,,,,,,,,,,
P. 52,PERAK,P. 52,GERIK,BN - UMNO,,36679,10458,69.94,25655,764,1009,23882,UMNO,MOHAMAD TAJOL ROSLI BIN MOHD GHAZALI,MALE,51,17170,,,,,,,,,,,,,,S46,ROSLAN BIN MOHD LATIF,MALE,,6712,,,,,,,,,,,,,,,,,,,,,,,,,
P. 53,PERAK,P. 53,LARUT,BN - UMNO,Y,35919,,,,,,,UMNO,MOHD ZIHIM BIN MOHD HASSAN,MALE,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P. 54,PERAK,P. 54,PARIT BUNTAR,BN - UMNO,,42455,5449,70.95,30123,79,1133,28911,UMNO,ABDUL RAHMAN BIN HAJI SULAIMAN,MALE,,17180,,,,,,,,,,,,,,S46,IDRIS BIN ABDUL RAUF,MALE,,11731,,,,,,,,,,,,,,,,,,,,,,,,,
P. 55,PERAK,P. 55,BAGAN SERAI,BN - UMNO,,41820,6250,67.55,28251,98,1535,26618,UMNO,QAMARUZ ZAMAN BIN HAJI ISMAIL,MALE,59,16434,,,,,,,,,,,,,,S46,ZAINAL ABIDIN BIN ZIN,MALE,,10184,,,,,,,,,,,,,,,,,,,,,,,,,
P. 56,PERAK,P. 56,BUKIT GANTANG,BN - UMNO,,52768,15154,68.35,36067,406,1635,34026,UMNO,ABDULLAH FADZIL BIN CHE WAN,MALE,50,24590,,,,,,,,,,,,,,S46,ABDULLAH HUDI B. HJ. ABDUL LATIF,MALE,,9436,,,,,,,,,,,,,,,,,,,,,,,,,
P. 57,PERAK,P. 57,TAIPING,BN - GERAKAN,,68346,16767,70.13,47930,1649,2130,44151,GERAKAN,KER (KERK) KIM TIM @ KERK CHOO TING,MALE,54,30459,,,,,,,,,,,,,,,,,,,,DAP,HARADEYAN SINGH @ HARDEYAL SINGH,MALE,,13692,,,,,,,,,,,,,,,,,,,
