UNIQUE CODE,STATE,PARLIAMENTARY CONSTITUENCY CODE,PARLIAMENTARY CONSTITUENCY NAME,WINNING PARTY,WINNING CANDIDATE,WINNING CANDIDATE SEX,WINNING CANDIDATE AGE,UNCONTESTED VICTORY
P. 168,SARAWAK,P. 168,PETRA JAYA,BN - PBB,DR. SULAIMAN DAUD,MALE,62,Y
P. 169,SARAWAK,P. 169,BANDAR KUCHING,BN - SUPP,SONG SWEE GUAN,MALE,55,
P. 170,SARAWAK,P. 170,PADAWAN,BN - SUPP,YONG KHOO HIAN @ YONG KHOON SENG,MALE,54,
P. 171,SARAWAK,P. 171,KOTA SAMARAHAN,BN - PBB,DATUK TAN SRI HAJI ABDUL TAIB BIN MAHMUD,MALE,59,Y
P. 172,SARAWAK,P. 172,SERIAN,BN - SUPP,RICHARD RIOT AK JAEM,MALE,44,
P. 173,SARAWAK,P. 173,BATANG SADONG,BN - PBB,SUKINAM DOMO,FEMALE,48,
P. 174,SARAWAK,P. 174,BATANG LUPAR,BN - PBB,WAN JUNAIDI TUNKU JAAFAR,MALE,49,Y
P. 175,SARAWAK,P. 175,SRI AMAN,BN - PBDS,JIMMY LIM @ JIMMY DONALD,MALE,50,
P. 176,SARAWAK,P. 176,LUBOK ANTU,BN - PBDS,JAWAH ANAK GERANG,MALE,41,Y
P. 177,SARAWAK,P. 177,BETONG,BN - PBB,DOUGLAS UNGGAH EMBAS,MALE,40,Y
P. 178,SARAWAK,P. 178,SARATOK,BN - SNAP,PETER TINGGOM ANAK KAMARAU,MALE,71,
P. 179,SARAWAK,P. 179,KUALA RAJANG,BN - PBB,ABANG ABU BAKAR BIN ABANG HAJI MUSTAPHA,MALE,54,Y
P. 180,SARAWAK,P. 180,SARIKEI,BN - SUPP,DATUK LAW HEING DING,MALE,59,Y
P. 181,SARAWAK,P. 181,JULAU,BN - PBDS,SNG CHEE HUA,MALE,48,
P. 182,SARAWAK,P. 182,KANOWIT,BN - PBDS,DATUK LEO MOGGIE AK IROK,MALE,54,Y
P. 183,SARAWAK,P. 183,LANANG,BN - SUPP,TIONG THAI KING,MALE,50,
P. 184,SARAWAK,P. 184,SIBU,BN - SUPP,ROBERT LAU HOI CHEW,MALE,53,
P. 185,SARAWAK,P. 185,MUKAH,BN - PBB,LEO FRANCIS MICHAEL TOYAD,MALE,45,Y
P. 186,SARAWAK,P. 186,SELANGAU,BN - PBDS,JOSEPH MAUH A/L IKEH,MALE,44,
P. 187,SARAWAK,P. 187,KAPIT,BN - PBB,JAMES JIMBUN @ JIMBUN AK PUNGGA,MALE,55,
P. 188,SARAWAK,P. 188,HULU RAJANG,BN - PBDS,ABIT JOO,MALE,46,
P. 189,SARAWAK,P. 189,BINTULU,DAP,CHEW CHIU SING,MALE,45,
P. 190,SARAWAK,P. 190,MIRI,BN - SUPP,PETER CHIN FAH KUI,MALE,50,
P. 191,SARAWAK,P. 191,BARAM,BN - SNAP,JACOB DUNGAU SAGAN,MALE,49,
P. 192,SARAWAK,P. 192,BUKIT MAS,BN - PBB,GOR KAYA @ MICHAEL LISA KAYA,MALE,41,
